force_x_index,force_x_middle,force_x_ring,force_x_thumb,force_y_index,force_y_middle,force_y_ring,force_y_thumb,force_z_index,force_z_middle,force_z_ring,force_z_thumb,index_orientation_w,index_orientation_x,index_orientation_y,index_orientation_z,index_position_x,index_position_y,index_position_z,label,middle_orientation_w,middle_orientation_x,middle_orientation_y,middle_orientation_z,middle_position_x,middle_position_y,middle_position_z,ring_orientation_w,ring_orientation_x,ring_orientation_y,ring_orientation_z,ring_position_x,ring_position_y,ring_position_z,stiffness_index,stiffness_middle,stiffness_ring,stiffness_thumb,thumb_orientation_w,thumb_orientation_x,thumb_orientation_y,thumb_orientation_z,thumb_position_x,thumb_position_y,thumb_position_z,torque_norm_index,torque_norm_middle,torque_norm_ring,torque_norm_thumb
317.0,7.0,20.0,241.0,5.0,25.0,5.0,33.0,362.0,185.0,188.0,212.0,0.12577492897465037,0.9700088811071477,0.009579041601776334,-0.207777957870108,0.10948220922517005,0.31547352485667396,1.044475045005255,brick,0.10875984958424587,0.9809784843549245,-0.024827724692100317,-0.15885871848199024,0.11421966947561776,0.3645071126765145,1.0368503360744465,0.08934085107314046,0.9720266024023618,-0.0700384041067782,-0.20561400366177085,0.1104739493052612,0.4140380494082867,1.032028132737072,2736.0575202242794,2344.935092584761,2616.912670101948,1440.0957104783695,0.0293467415942838,0.1299942395980077,-0.9843552943109115,0.1152602316118295,0.21493392754065013,0.3446798150901343,1.0332433628843596,481.2,186.8,189.1,322.7
329.0,23.0,15.0,208.0,30.0,17.0,3.0,28.0,338.0,100.0,182.0,237.0,0.12641279362351932,0.9697483706414421,0.009177451560003463,-0.20862329119594664,0.10917275934228943,0.31534031202666557,1.0445849199702786,brick,0.10341665291034871,0.9798866344887587,-0.024559522349521662,-0.16889052463971294,0.11364244316661917,0.36582145156355306,1.0365658201550907,0.08990574714041885,0.9715467472428092,-0.07051438005652846,-0.2074646879791433,0.11028414023436622,0.4139286903016981,1.03208555896508,2814.1655723106614,792.4626236018285,2824.3148023311237,2027.7318295348553,0.024201035049862984,0.13056076713555326,-0.9844947929819569,0.11462198122046474,0.21444957919270136,0.34453882622049137,1.0332901317035221,472.6,104.0,182.6,316.6
224.0,3.0,96.0,268.0,-13.0,28.0,1.0,42.0,315.0,67.0,155.0,272.0,0.12830515233166373,0.9687173641484621,0.008079152278367363,-0.2122714855576861,0.10860299950378027,0.31489477969448315,1.0448137782913973,brick,0.10405882594967206,0.976050998964432,-0.02704062631698706,-0.18911639984648448,0.11115190310167272,0.36566720827554144,1.0370173340899207,0.0954706328806923,0.9703418377567872,-0.07261043657134347,-0.20988044372227743,0.10803828455078576,0.4128229536762336,1.0328020672781537,1774.019744760324,1255.2669962571767,2060.0317868462744,1601.2418973336369,0.03540861102105264,0.1286923274349001,-0.9842382027512634,0.11601584103005286,0.21403665253581045,0.3445359733733067,1.0334064122926747,386.7,72.7,182.3,384.2
232.0,1.0,81.0,189.0,-11.0,22.0,3.0,32.0,382.0,41.0,167.0,255.0,0.1270974073594376,0.9701406486751065,0.00923448170555044,-0.20636883286577645,0.10780531411767363,0.315175220667694,1.0449834379021208,brick,0.1081610316416973,0.9757241576708391,-0.028230415638651807,-0.18832578953665435,0.11024022550010457,0.3647122445821602,1.0375002626034746,0.09665187351110696,0.9714113882134838,-0.07233658375375043,-0.2044156276970563,0.10802078095913761,0.41263564320722423,1.032874753083393,3483.561246001784,5448.212474688866,21047.838082641185,2418.2713032481724,0.03710334639155399,0.12857976816906203,-0.9841610328298185,0.11626541344476946,0.2129811344660206,0.34426861956097554,1.0336346659731739,447.1,46.5,185.6,319.0
331.0,19.0,8.0,222.0,42.0,18.0,10.0,27.0,357.0,143.0,184.0,220.0,0.1253745804052817,0.9705753434991167,0.009987476536785694,-0.20534110034817254,0.10976767156654235,0.3155589463273969,1.044351749004145,brick,0.1044417575584908,0.9812770093059648,-0.023806736121269323,-0.16006432957060385,0.11417389914127885,0.3655665804572391,1.0365670567148473,0.09073160178180045,0.9718276561598835,-0.07054065343030635,-0.20577366054604923,0.11039291517168162,0.4136867470617763,1.0320627152873425,3328.4031034480495,1559.5864840245338,2414.9785983822258,1573.031310049227,0.0271315321744533,0.12988419886329117,-0.9844662497877998,0.11497903233308218,0.21511696737282002,0.3447001982852365,1.0331612841605908,488.6,145.4,184.4,313.7
307.0,11.0,34.0,248.0,-12.0,30.0,4.0,30.0,363.0,145.0,196.0,233.0,0.1260848504235892,0.9695220657147415,0.009230146049565402,-0.20986752723988533,0.10885044798074328,0.3153963276487397,1.044636777393248,brick,0.1085705570438853,0.9789474585702075,-0.026171645689359035,-0.17084891707008937,0.11322093843712333,0.36451895970039694,1.0369692571839568,0.09082564235158694,0.9716415376781127,-0.07061260357860624,-0.2065848134926297,0.10973429085511868,0.41374845410993955,1.0322345314718002,2737.5837147088296,1779.2685548799802,2498.6648840618855,1367.5518951494696,0.029208732178849395,0.12984014423465223,-0.9843841925460268,0.11522216963386711,0.21402127028989698,0.3444813160612219,1.033377758457796,475.6,148.5,199.0,341.6
273.0,2.0,50.0,198.0,-17.0,24.0,-1.0,29.0,395.0,60.0,173.0,250.0,0.12818383380245837,0.9701492190292371,0.009031824700358515,-0.20566434720497256,0.10903381754081323,0.31486021374750894,1.0447281723092374,brick,0.10542139601452974,0.9770914578165177,-0.02668587261756719,-0.18293845010543452,0.11176447666132003,0.36528891165895644,1.0370356965396659,0.09233695830363328,0.9712456952534019,-0.07124609397772583,-0.20755644937193718,0.1088741029109509,0.4134685518102643,1.0324702972157547,3210.382838126727,1653.1910135767964,577.8960939121364,1981.676792415573,0.02957544962561076,0.12928563334081944,-0.9844426486733673,0.11525271911790563,0.21358936988137223,0.34437699040424363,1.0334503888372533,480.5,64.7,180.1,320.2
320.0,4.0,85.0,227.0,-22.0,29.0,1.0,38.0,360.0,90.0,153.0,269.0,0.12846711931237473,0.9677217800275426,0.007501110547582512,-0.21668984530073881,0.1082454193083241,0.3148433639429529,1.0449555886468902,brick,0.10535358885975521,0.9774946659700345,-0.026429495443564016,-0.18084877960632872,0.11153133805031706,0.365375132439256,1.0371184014035382,0.0963557421563696,0.9710115158482542,-0.0724213525352222,-0.20641549055373892,0.1081962235024635,0.4126202792363374,1.0328479901716892,2471.784932161388,1385.362693511652,5526.2816877729265,1857.8886283283332,0.031937941413197224,0.12901740189399008,-0.9843712746327733,0.11553212360491358,0.21364639687065212,0.3444431224039297,1.0334769754615643,482.2,94.6,175.0,354.0
317.0,1.0,55.0,193.0,2.0,24.0,8.0,29.0,347.0,75.0,137.0,255.0,0.12761015645044566,0.9679212160855889,0.007838568023663062,-0.2162931443051901,0.10742702291094575,0.31503955455714794,1.04507140994397,brick,0.10569516519556271,0.978115533190316,-0.026131505618665563,-0.1773011003919842,0.11097385934590656,0.36532930947419806,1.0371635681485054,0.0966889974272302,0.972167937400219,-0.07186569047084895,-0.2009379551022381,0.1075324309406295,0.412698172760783,1.032794629262317,2870.159617731614,881.6807543446785,10029.994880024882,2288.6676325559797,0.036459557639693996,0.1287802277050245,-0.9841695369162426,0.11617519621256675,0.21275514514583294,0.34421166098908573,1.0336604120025923,470.0,78.8,147.8,321.1
292.0,5.0,54.0,159.0,-25.0,27.0,-4.0,32.0,420.0,82.0,139.0,228.0,0.12825989686539846,0.9695263665423257,0.008587760403581335,-0.20855280819630345,0.10797433323799988,0.31484723722106833,1.0450106539393456,brick,0.10737436786545387,0.9779516761286994,-0.02663435699749056,-0.17712107528437188,0.11128471354095917,0.36488046190260737,1.0372489191282408,0.09510519119640146,0.9691006611839331,-0.07317091536364678,-0.2155108541238801,0.10788368109926891,0.41278535419890805,1.032865022076231,3968.629397369123,1677.5588712462024,15401.437907117395,1927.3541950591773,0.0313373896169456,0.1288989451040033,-0.9844138574172019,0.11546595726904069,0.21386248381994336,0.3444481026734638,1.033420000854513,512.1,86.5,149.2,279.8
360.0,4.0,84.0,245.0,-16.0,22.0,4.0,40.0,428.0,78.0,158.0,261.0,0.12798051946261146,0.9694539247417422,0.008586024675592385,-0.20906064818894687,0.10825915084124996,0.3149429445288519,1.0449159801308627,brick,0.10533514927855897,0.9773271551984448,-0.026596362392475814,-0.18173819506550282,0.11130215330201157,0.3653852269732568,1.0371392331862386,0.0963497171203184,0.9715577829536661,-0.07218219143485832,-0.20391649671532963,0.10817563881325401,0.4126803609399415,1.0328232626160363,2882.8196172004523,4017.5419481418185,5475.87557797517,1623.9755807637082,0.0339427699650352,0.12874112558977924,-0.9843033820861969,0.11584672184680297,0.21400989127844483,0.34448142401843307,1.03341965093492,559.5,81.1,179.0,360.2
266.0,6.0,36.0,243.0,-16.0,33.0,6.0,28.0,419.0,128.0,200.0,222.0,0.12684001727649047,0.9705275992655367,0.00959841735266484,-0.2046842921806583,0.10939754770429844,0.31520628574980103,1.0445630395025238,brick,0.10644380884831722,0.9780471967549766,-0.026333116475066837,-0.17720034834702358,0.11315439594445853,0.36500990048601994,1.0368549174763326,0.08873943347436847,0.9717238167843043,-0.07005213172777391,-0.20729408018847845,0.11052595488069886,0.4141520465958368,1.0319813903981156,3260.6698369836618,2261.8954751728074,2866.5417141737994,1439.8745709008745,0.029605975834933962,0.1307791710540152,-0.9842271662143545,0.11540008621724568,0.21440671360851554,0.3445049284935624,1.0333323859656198,496.6,132.3,203.3,330.3
226.0,2.0,29.0,258.0,-1.0,35.0,4.0,31.0,474.0,97.0,143.0,195.0,0.1259723037552614,0.9719438439830628,0.010672069127376865,-0.19834880834166663,0.109640245349237,0.31542275096357525,1.0444722336621521,brick,0.10453890818879441,0.9777328134487726,-0.026114951285952953,-0.18007823716255678,0.11263406484061719,0.36548679448864024,1.0367589937106363,0.08944186956033992,0.9719092123177582,-0.07015638513508463,-0.20608424638046097,0.11025506075530875,0.4140468789432927,1.032068639130705,3116.3443182379237,526.4673289887951,827.3279120126263,1181.3790588748539,0.030037758512822976,0.12952806004960288,-0.9843892038090661,0.1153174321057488,0.21474189521270587,0.34466623328854007,1.0332701911939766,525.1,103.1,146.0,324.9
273.0,6.0,55.0,186.0,8.0,21.0,1.0,28.0,331.0,63.0,138.0,225.0,0.12646385350945885,0.9686499232287219,0.00860292529889256,-0.2136590968361296,0.10780388567287097,0.31528438646303203,1.0449150489449162,brick,0.10570878357856517,0.9772409856577869,-0.026650147783292916,-0.1819765881866825,0.11084828906658592,0.36527167282126255,1.037247003312745,0.09603547801770967,0.9705015433961109,-0.07260473743307502,-0.2088839231007278,0.10786415021789328,0.4126555963684816,1.0328844697661432,2968.9297213490245,2956.129461255202,1752.8405592462916,1535.8355650983942,0.03398887151826391,0.1286066536348226,-0.9843245144408371,0.11580300308963226,0.21324931604975209,0.34432479240329594,1.0335473669903688,429.1,66.7,148.6,293.3
379.0,2.0,57.0,253.0,13.0,28.0,1.0,29.0,370.0,128.0,177.0,240.0,0.12668751416857574,0.9695308824540066,0.008999078215385592,-0.20947352652069107,0.10901770851635592,0.31526120917402295,1.0446159275998967,brick,0.10749330155366338,0.9778831103379657,-0.02670802257788643,-0.17741616095163815,0.11304643924834937,0.3647732643723348,1.0369235391974305,0.09260990143755066,0.9707793198887016,-0.07161370365077657,-0.2094812537712516,0.10893213976927382,0.4133950971575254,1.032483040392811,2372.528667053815,2935.269330949956,679.1607833084869,1788.879076132915,0.029963488409148142,0.12944981238275938,-0.9844008365037575,0.11532531607208327,0.21417920536454835,0.34450917066009723,1.0333536648060027,529.8,131.0,186.0,349.9
337.0,14.0,50.0,178.0,20.0,27.0,2.0,27.0,365.0,76.0,127.0,222.0,0.12674282002986542,0.969907515026097,0.009280312524344386,-0.20767654096269433,0.10856339380833269,0.3152193174573377,1.0447524758511753,brick,0.10649135192259518,0.9771463900142177,-0.026877775100126317,-0.1819948066664176,0.11111226107211666,0.3650709540846511,1.0372446832503566,0.09194986789584186,0.9707785446234718,-0.07137173532094329,-0.20985784352734616,0.10799705524696215,0.4136540219880698,1.032663144566416,3460.0478963621918,2162.2618904798824,898.8797005749944,1953.1418503393681,0.03335929964264406,0.12914036729096212,-0.9842808419604774,0.11576332239911438,0.21355694912516648,0.344379593594211,1.0334927648512577,497.2,81.9,136.5,285.8
255.0,3.0,75.0,192.0,28.0,15.0,2.0,36.0,329.0,33.0,143.0,299.0,0.12422980389102176,0.9680891062990553,0.00886653046127811,-0.2174668313280757,0.1063146752950695,0.31585670200894433,1.0451525797702839,brick,0.10441215082835459,0.9755092225037839,-0.02740369152014624,-0.19164784700206994,0.10957387608528565,0.3656277395523344,1.0374235232278959,0.09250079241341155,0.9707251322078346,-0.07158413933766447,-0.2097904480624877,0.10636518468930137,0.4137882614120225,1.0330557215438054,4705.660764400915,2970.3171871914874,8491.663296776875,2957.251588492604,0.037990481676237975,0.12826571365245587,-0.9841590243008979,0.11634279045277682,0.2130826928352653,0.34429876506481694,1.0336103216254715,417.2,36.4,161.5,357.2
335.0,2.0,57.0,195.0,2.0,23.0,4.0,32.0,372.0,39.0,118.0,264.0,0.1262193950094968,0.9695412291439283,0.009143648652979647,-0.2097018431078455,0.10869895465134297,0.31537956494462116,1.0446905073546062,brick,0.10702484025170977,0.9749744033079217,-0.028370980872838347,-0.19278403436947572,0.11066202510222112,0.36491642558154946,1.0373670045673173,0.09149505418357393,0.9699856214339186,-0.0717181942118344,-0.21357211871026793,0.10788820562251666,0.4137605713857806,1.032694149389116,3403.8027771791985,11904.925455933424,7263.76900908036,2044.772007826423,0.03310715743831549,0.12865640553983154,-0.984361621593455,0.11568769759066225,0.2134893267944318,0.34438640468652926,1.0335226877518129,500.6,45.3,131.1,329.8
207.0,10.0,48.0,245.0,-10.0,31.0,6.0,33.0,328.0,99.0,187.0,241.0,0.12655430522390093,0.9679288357134215,0.008135142667376277,-0.21686769302396597,0.10851067711504372,0.3152876923928092,1.0447467497874139,brick,0.10769019588486603,0.9766460090884976,-0.027498509147564132,-0.1838728545393541,0.11273080418241313,0.36467089677970943,1.0369934069323028,0.09042399630418091,0.9710047149501719,-0.07088114146094923,-0.20964066452410768,0.11000302273113699,0.41376069990510117,1.0321613333763593,2661.448832394214,2802.450131145197,2869.324774520834,2664.0653865282893,0.02878265304497829,0.12963860918138215,-0.9844275382200521,0.11518598824169751,0.21388019680035897,0.3444256316734195,1.0334114013326707,388.0,104.2,193.2,345.2
365.0,23.0,55.0,192.0,18.0,30.0,-2.0,37.0,343.0,81.0,136.0,268.0,0.12702093014948787,0.9688727998665412,0.008554134189886486,-0.21231582082122075,0.10869650943679651,0.31510477452026986,1.0447298271165735,brick,0.10473402093359724,0.976695366426022,-0.026781165989209404,-0.1854176777151484,0.11124915628114809,0.3654212290510648,1.037097624147295,0.09594200495291855,0.9696385641076518,-0.07307874618204097,-0.21273383261090817,0.10796664435002068,0.41255539522367823,1.032872066569639,2600.0884637541717,1633.2612768378483,41738.43604489505,2106.4592018512353,0.03214363332402509,0.1289335895100524,-0.9843674619084426,0.11560110842338481,0.2141231627337539,0.3444456225013286,1.0333860659981022,501.2,89.4,146.7,331.7
323.0,3.0,42.0,184.0,25.0,23.0,5.0,31.0,314.0,101.0,135.0,243.0,0.12655872274384267,0.9683881904124059,0.008340432730942093,-0.2147967400802273,0.10837558193879518,0.3152878552305935,1.0447734729133025,brick,0.10625648468381862,0.9782885432967663,-0.026199652592369754,-0.1759962037118034,0.11163359431653477,0.3651578334755733,1.037112371103237,0.09420828868621761,0.9694135126789885,-0.07278990859824291,-0.21462494958522127,0.10811913123563552,0.41300487399126,1.0327502355329803,2939.103793527673,1730.8252496966547,27730.428176231493,2138.5991810476457,0.03171014224695207,0.12915414429192573,-0.9843551051975714,0.1155798458312523,0.21366755342513244,0.3443719930737461,1.0334636282171976,451.2,103.6,141.5,306.4
6.0,508.0,-4.0,-277.0,-3.0,205.0,-2.0,326.0,17.0,74.0,10.0,5.0,0.1178093271622917,0.989259112179388,0.04459641673701398,0.07415208033383239,0.1612670832123755,0.3188564629048426,1.0425467595748308,no_contact,0.11569817294723359,0.992156070526129,-0.00212208793708335,0.04728383695947502,0.15713403541054982,0.3628092682054787,1.0368003565955608,0.10985191843609282,0.9873745292663734,-0.03877040617499844,0.10733569106752125,0.16680489037286442,0.40776578851987133,1.0332876146542562,0.0,3596.674699771766,0.0,0.0,0.2694982682540452,0.07768907771434733,-0.9501576019543708,0.13614559140965055,0.17643803740303912,0.3407035052717019,1.0497452668055895,18.3,552.8,11.0,427.8
-9.0,107.0,-8.0,-68.0,21.0,68.0,-3.0,419.0,15.0,219.0,9.0,150.0,0.11838172504683261,0.9892273361110829,0.04451165633094703,0.07371402252069992,0.1611840393405956,0.3187099752120497,1.0425463284346035,no_contact,0.11963510140151928,0.9924952712792705,-0.005082599070837607,0.024794075655705572,0.15054755608494064,0.36168116859187865,1.0360629675820376,0.10912076776706964,0.9873979771472421,-0.03872841156695361,0.1078795759398446,0.16701497379625005,0.4079431857003809,1.0332627961336383,0.0,2209.635953283645,0.0,475.9388824429634,0.28717308421884474,0.06358939092533111,-0.9464651514394595,0.13301024837456119,0.16900457533713567,0.3417919475292599,1.0539959153372913,27.3,253.0,12.4,450.2
-2.0,95.0,-5.0,-31.0,13.0,30.0,-10.0,211.0,22.0,202.0,11.0,263.0,0.11893962492923962,0.9893715086387201,0.044168876096883775,0.07103867890081345,0.16079568615116246,0.3185521937106945,1.042507777469825,no_contact,0.10968731468666537,0.993803533582799,-0.005114808963763623,0.01723567127893294,0.14902133741906862,0.3641481157233803,1.035300416186868,0.10951830848889832,0.9872028823987734,-0.038572535801532803,0.10930859330868317,0.16699160357830298,0.4078636729034451,1.0333086200878523,0.0,2535.4007254705366,0.0,1011.4275077975701,0.301701768075038,0.07307662503796428,-0.9404170739265778,0.13875005254352163,0.16925687895435082,0.3401697261324508,1.0548007019263608,25.6,225.2,15.7,338.6
5.0,355.0,-7.0,-190.0,-1.0,143.0,-5.0,728.0,14.0,142.0,8.0,34.0,0.11989391216251744,0.9891733326923342,0.04435178705668208,0.07207278752473392,0.16101793277488105,0.31831668640219524,1.0426563285211672,no_contact,0.11326838461044231,0.9927465991755792,-0.0027094053186896006,0.04021345540837504,0.15535884702456484,0.3633539648566245,1.03639470796923,0.10988634195393426,0.9870414226747153,-0.03834405483465772,0.11047151322894377,0.16737036753323362,0.4077427491393374,1.0334745473013822,0.0,3399.4013086154555,0.0,997.4376313149357,0.2780778768106965,0.06336123372416227,-0.9493667575563526,0.13176041946026273,0.172378217889633,0.34218620737769495,1.051610768484037,14.9,408.2,11.7,753.2
-1.0,495.0,-8.0,-235.0,-5.0,208.0,-2.0,654.0,18.0,161.0,7.0,26.0,0.12055853128776295,0.9888961501399496,0.04457589925859562,0.07458574915767457,0.16152689803980289,0.31818149394106865,1.0427662723447937,no_contact,0.11485870185436883,0.9924977157209081,-0.0026802557031788965,0.041816015191232764,0.15689500194151848,0.36299834671381564,1.0367251206742276,0.11009228976335755,0.9871290754654711,-0.038510477060066745,0.10942037864105117,0.16716526050330358,0.4076988253263283,1.0334102874998206,0.0,12385.33738205512,0.0,0.0,0.25730700653846034,0.06795943797406084,-0.9549958861391583,0.13098655134688694,0.17392480914672823,0.34194496222877524,1.0503319123139372,18.7,560.5,10.8,695.4
2.0,135.0,-5.0,-74.0,12.0,69.0,-3.0,387.0,19.0,215.0,12.0,145.0,0.11796630408430506,0.9892661955391189,0.044571694854106864,0.07382214763930897,0.1611835037078556,0.31880458568756903,1.042536930609852,no_contact,0.1151715451702093,0.9929810522981499,-0.004484138815625399,0.026533704208953346,0.15110033450629706,0.36279786392159125,1.0358665681873744,0.10928851219525576,0.9875650128133364,-0.038890756511896746,0.10610784903613063,0.16679171896598718,0.4078808815951985,1.0332227007911483,0.0,3007.355905242902,0.0,599.5324784272414,0.29351836625066363,0.06198676775786888,-0.9446050659633571,0.13313856936603757,0.16976506526894794,0.3419720791933617,1.053611688015358,22.6,263.1,13.3,419.8
10.0,388.0,-7.0,-347.0,-12.0,345.0,1.0,182.0,19.0,69.0,9.0,-23.0,0.118602093646925,0.9889869786668288,0.044825930946742615,0.07634746442929005,0.16176375607299293,0.3186816341138413,1.0426710057297326,no_contact,0.10992709554218752,0.9922560519672721,-0.0006188436862843982,0.05782368055108217,0.16022587523056803,0.36433881435594806,1.0370596359011954,0.10775006211895538,0.9873489479352331,-0.038523044525721944,0.10976317308195518,0.1672984692739897,0.4082804291579166,1.033280996044044,0.0,5381.822009684076,0.0,0.0,0.25086933634686415,0.08637722673001877,-0.9544164824991291,0.13672135428419777,0.1780083342277158,0.3399735917392504,1.048686021858484,24.6,523.8,11.4,392.5
1.0,494.0,-8.0,-326.0,-15.0,298.0,-2.0,657.0,12.0,62.0,11.0,-5.0,0.11962455924640156,0.9893465031348676,0.044100105007531504,0.07027547437220472,0.16084806241690563,0.31837699025949295,1.0425702711217353,no_contact,0.11053330016314394,0.992584850533528,-0.0014259338977151148,0.050553642390017584,0.1593376045499094,0.3641528828797789,1.036954646630834,0.11068110993152908,0.9867745330933995,-0.03820201281567481,0.11209959393083815,0.1674935892505682,0.40756008884423245,1.0335409821265913,0.0,542.8373667885585,0.0,0.0,0.2492759927982238,0.07119856158345556,-0.9568589786397426,0.1311988538037397,0.17531255914251662,0.3417132515945317,1.0494501259251576,19.2,580.2,13.7,733.5
12.0,505.0,-4.0,-322.0,-28.0,301.0,2.0,918.0,25.0,-25.0,9.0,-312.0,0.11977935045369187,0.9889790411776243,0.044603920985494094,0.07472518684485757,0.16144198335993812,0.3183508712158388,1.0426897522305,no_contact,0.11733106706668411,0.9875628605633723,0.004579475180402026,0.10455642277715516,0.16701457003764517,0.3626848571732644,1.0389176269562046,0.10960856034729283,0.9870140835552657,-0.03835912516350143,0.11098531379801557,0.16743622471346156,0.4078067388182224,1.0334196698612264,0.0,0.0,0.0,0.0,0.1986129681759803,0.08800484181890422,-0.9673939577896119,0.13021891998057286,0.18561471578648908,0.34136698228885487,1.043718790455928,39.4,588.4,10.0,1021.6
